Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.14058403829363864
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.7203959742662894
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.11895209984874644
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.8117588493271495
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.6707581939143996
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.8436367096778538
6,2016-12-01 06:00:00,inf,90.0,0.0,0.0,0.6118737372643487
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.7974137184587489
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.8450379077116978
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.05788470850130101
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.43863100503220853
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.6960719148694295
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.02325825736122522
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.9169192271494195
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.14437585878606818
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.05512901788342328
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.8932683385648675
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.7769729919300277
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.5763215935091895
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.11757757214866627
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.9526512217784491
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.10669854172811433
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.14938179665887052
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.813314816984137
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.23172879355277498
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.5890476890808874
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.7102490808773004
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.5249845042317438
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.7006377435556372
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.17923365871663344
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.5075839780499175
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.034041399544460615
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.26762158547648174
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.7528515658095916
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.9643380584131864
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.5771758055755006
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.9961347880899158
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.5784278905295509
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.6571409779476235
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.2077317061668924
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.24117888164472412
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.9063065821754474
