Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.9105992180753159
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.6491653941909158
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.9245882937331396
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.5046298014173675
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.8524391626874436
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.6619741900985295
6,2016-12-01 06:00:00,inf,49.0,0.0,0.0,0.6855324910218504
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.3187827656907378
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.1414571631365238
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.45713718638211076
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.7337646965809633
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.760235316426546
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.5032194117184972
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.4611469758478569
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.756689328539919
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.3553123179761093
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.9085763426929997
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.8301946710269222
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.6981911458415774
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.4876196937807824
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.49617306434703545
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.33246208527523335
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.10316275561560706
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.8228243177547462
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.3956706024332961
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.7688751109168191
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.5097921530462903
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.5801329709813545
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.8947700929100602
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.429663668729498
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.834207959544343
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.7923947372353839
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.8014306020142039
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.49467460894754367
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.29750667731256886
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.11584209943901647
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.05069638789887243
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.45697320876814973
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.048445180614138605
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.2914666432986275
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.9514946154298302
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.5377574445464244
