Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.481135509355607
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.1350905936067428
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.3526691491728684
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.3370807842943109
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.24321739873218906
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.9613655939701261
6,2016-12-01 06:00:00,inf,55.0,0.0,0.0,0.7588723953629585
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.9338143198143662
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.16049907514544726
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.47116402788505996
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.10397743842955565
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.45230936789808496
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.2338812898263084
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.2620489470608771
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.9955557662527215
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.7986865532621155
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.40976561893115504
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.40105149171397514
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.8747470601825555
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.1717841850217161
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.5540952527261133
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.40406180064790675
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.2652616971568904
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.6619028272825851
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.9172743054848042
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.2176983583992852
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.3673721271858251
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.19427982246544895
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.4757971595425915
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.7594626501322496
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.8513058765461331
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.21736610572926884
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.5597136419805285
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.11979126657200112
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.39029843300872014
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.7169255842233956
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.15719322281934223
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.8862131639500463
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.32086195668565554
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.03775562567170676
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.7333253406082906
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.3407865989284764
