Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.9114111347463101
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.43026627592469613
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.9019754896053148
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.7995282374797431
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.830033731325843
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.23858937376592515
6,2016-12-01 06:00:00,inf,90.0,0.0,0.0,0.1995424983044004
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.36657562411325517
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.8637935338779877
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.9358486294273946
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.11697970475665942
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.3525523897593561
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.7292091486530831
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.3490025986751327
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.6284732304915454
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.8462486955632393
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.9181325884677822
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.8146859697821155
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.5951650049330309
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.9404173097634458
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.38429875649269274
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.1912161134492878
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.6689908300918339
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.8982984007606228
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.6809546275932674
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.13822989214513282
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.5668752719356467
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.971410893726996
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.48719865959744457
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.3250203634388631
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.5227883727142424
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.9798697122818627
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.5194218153545067
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.005371127101235218
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.4662347296084298
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.043474209303557165
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.6278061728982596
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.26141848508865717
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.2796596345042123
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.3943033628903856
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.1211520513071811
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.5460637339563517
