Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.8197785152575722
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.27948638769818845
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.40941171931445064
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.8970394842009514
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.22886483331096452
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.10533958074954886
6,2016-12-01 06:00:00,inf,90.0,0.0,0.0,0.9241269307188953
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.7744629762601927
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.2363246632062932
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.6748732737492619
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.4611861924772276
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.06250393127878262
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.8957255242440818
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.5193267964453334
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.5970170535074036
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.3007937258499298
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.7739774025261605
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.5314025021169153
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.8996187001285095
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.3589040304205421
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.5937070284680868
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.9359965438652071
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.4986256312463563
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.6202068357177927
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.5173346515177532
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.43331799305027285
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.21690599361263907
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.4233415323926628
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.6058125016822187
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.7010948537989717
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.6070186890311594
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.5951647269157152
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.268732915181249
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.6820424732719056
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.16973565325448514
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.6560721720870274
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.03646897984703923
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.1229836603660196
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.8188082332803299
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.597984519692491
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.3855772144373327
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.5074290288531602
