Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m,sm_profile_0_1m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.1272471694831683,0.03653526501949067
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.1152174554651385,0.07544436580709835
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.0899471279443262,0.580599550314907
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.1263912264946211,0.9681991788029806
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.1409305332769079,0.4465207797550774
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.0665274551200515,0.7955612852495285
6,2016-12-01 06:00:00,inf,65.0,0.0,0.0,0.0859762116486063,0.8445603958010298
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.0717504560560542,0.1270860468455054
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.129967332878656,0.7773461750463971
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.0708442165492664,0.00925121181641908
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.1783935590401255,0.3678269952464359
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.0925974920411192,0.5054826574815363
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.0242462655970543,0.1640250682110721
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.1164748530545442,0.29673009091316804
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.0123543202730663,0.4047556530879576
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.0139447991661905,0.05396782667609623
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.2002977374798255,0.8490391431390293
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.0733843446347711,0.7680148494970745
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.1080096648711713,0.04503713456416891
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,-0.0470495667567684,0.8263447425184278
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.1109621542833825,0.8453550652484284
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.0724927662414412,0.5346038993080057
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.1185741987711612,0.7345982430638558
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.1240296990056473,0.48360669406922363
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,-0.0051139246404737,0.7564098173610455
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.0425611706172582,0.7090468996219496
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.0857171606769093,0.5539299482385422
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.0549086462875651,0.9156748257824949
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.0990437843355999,0.9579454968381247
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.1376460876221544,0.44378328468401307
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.1416759438698121,0.11900460503113441
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.1088494429814982,0.29907803460478566
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.0828802253313443,0.03795855419740024
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.0648491539239742,0.09079396335591017
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.0821690620302516,0.5299296637545932
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.0732319456648681,0.611488608845516
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.0520785557370147,0.1171690487193
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.0782789413338891,0.7658005949931697
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.0761705106742635,0.7410774237443358
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.1472339118795876,0.397037480325919
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.1091873276281877,0.025028995942024457
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.0618989007085248,0.4912260732078867
