Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.2703534746731404
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.6956295933911916
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.5949166483620454
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.2042262818856484
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.5693013164647874
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.28871129663405315
6,2016-12-01 06:00:00,inf,90.0,0.0,0.0,0.03632413418820157
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.9493714108371141
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.4466161722168792
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.08294670902075618
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.16052582333052612
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.6103769363554155
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.7779047121571434
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.23936986571022645
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.7675304570686393
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.15302870926767853
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.7635851250596712
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.00880876561018229
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.9643421626718067
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.011613699161961644
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.33168572220449966
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.4061859992223622
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.04573917692951035
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.029017888517570256
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.6612166647739748
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.8772592317905515
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.5828987803610374
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.064926396510961
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.6394514453400688
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.06229194965741236
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.2915010406981542
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.44046868808537754
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.9977424490278497
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.9972319769687569
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.5723484448240178
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.9801914781190708
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.8902149590563808
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.25145054616454066
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.5942859493383904
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.16803500047494646
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.4590566193741141
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.5490912097507016
