Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m,sm_profile_0_1m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.0732277845912522,0.11312162035602824
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.1439853446341789,0.3779741614036217
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.0787608534003283,0.12186289365301073
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.0200370643703222,0.12767425563629886
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.1210787005219606,0.08172154594630698
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.0347665494209466,0.15618763504103428
6,2016-12-01 06:00:00,inf,55.0,0.0,0.0,0.1364115984327929,0.47856749361458717
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.0054045137726664,0.9908674584894852
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.087988776322884,0.8243722402928947
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.1214740307849139,0.6572872806770147
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.1169032098378347,0.06893079083708109
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.2105423918971561,0.9373363263636356
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.1147353076405523,0.060970606722252185
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.0573103722295897,0.5347931717888895
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.0577573640972321,0.11859222140830139
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.1369082274775866,0.3006683694712594
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.08935347935037,0.02110454096620018
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.0313641450452108,0.4223262221010211
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.093712817561648,0.9906985716412301
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.0529646486070434,0.3760410084911677
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.1389359819806907,0.7826842450726681
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.0408970659819088,0.4948797603297591
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.1990505268087411,0.1400387715984649
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.1333369072377867,0.7898586293012838
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.0660887346593717,0.37803389123543996
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.1304813074646442,0.19895383072916495
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.0677381538298204,0.2567034341314587
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.1039284628118459,0.5636407977464315
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.1433650647554405,0.06393221313928288
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.0668078729284092,0.6723713264018949
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.0706305111553788,0.7391143562884348
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.1830748897631278,0.9810343810777181
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.1318942275713559,0.8873783029299624
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.206565381392867,0.4963486468639231
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.1215241734819423,0.9848371182551987
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.0352326397490113,0.23578970436840196
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.0803904017624422,0.6221045431316339
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,-0.0040945455896616,0.5543220188172406
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.1025079107011928,0.7302808514150367
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.1150827555414434,0.3908674843517477
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.1120147571630768,0.4032609971804668
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.1486676543346239,0.8952944446936022
