Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m,sm_profile_0_1m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.0941757820952742,0.8939956077056017
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.1328245669821043,0.9329044872552343
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.1861839374898076,0.2715837264226896
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.0603857118379331,0.6970250800808491
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.0564214127894905,0.3137512169432659
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.0905276630251703,0.9809210166192646
6,2016-12-01 06:00:00,inf,90.0,0.0,0.0,0.055287958597455,0.585897037754073
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.0702223828927817,0.03269723122303636
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.1012706716399245,0.8659859263343934
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.0933533904442947,0.4408157831709897
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.2172130032106611,0.9330456447455826
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.0215754743089487,0.11773325878661944
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.1386371027381562,0.22754869345183426
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.080856572134032,0.7216213055062871
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.0395021461865182,0.7564508386862687
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.0905367949297994,0.4502944797301429
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.1071721099391938,0.2012299956347281
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.0775609282401374,0.5959438333875439
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.1015624082848591,0.28467698785906725
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.1228520293033248,0.04343430002537396
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.144971160338193,0.8620975596249957
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.0573746284873431,0.6196556189647872
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.0698298354519744,0.027767733668201733
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,0.0469679445266171,0.00794471685960263
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.1192983558507002,0.8124227614236876
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.0790679728825262,0.015563111494816817
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.0736108933953592,0.870146825179279
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.0834982323598976,0.15641422940576188
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.0760546019393112,0.5563924500080901
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.0937428932998953,0.9849147795767045
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.1212435289129721,0.21706403554496378
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.0549541659313174,0.11249418750103146
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.1721565598592371,0.3692168110433137
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.0241705531724437,0.899368190129596
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.1001519066265856,0.34575858532210646
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.0882353888539661,0.8474154004236499
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.0958663466064569,0.2532505274610729
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.1462953225973053,0.7626303849761692
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.0872251751634952,0.40917551761495574
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,-0.0089454855444687,0.9612302827700258
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.1672701331983818,0.033598206462173597
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.135973117699529,0.45809025069161247
