Time Step,Time,precip_scf,SWE_mm,snowh,raim,sm_frac_0_4m,sm_profile_0_1m
0,2016-12-01 00:00:00,inf,0.1,0.0,0.0,0.1151488880113716,0.5989856390628164
1,2016-12-01 01:00:00,inf,0.2,0.0,0.0,0.0628008522452992,0.20653622416849804
2,2016-12-01 02:00:00,inf,0.3,0.0,0.0,0.1583291113950807,0.39770221938550077
3,2016-12-01 03:00:00,inf,0.2,0.0,0.0,0.0828957935329385,0.5386614335791322
4,2016-12-01 04:00:00,inf,0.1,0.0,0.0,0.1689364626577408,0.9140474021710306
5,2016-12-01 05:00:00,inf,0.5,0.0,0.0,0.0755724761222621,0.465257283602447
6,2016-12-01 06:00:00,inf,55.0,0.0,0.0,0.1361193040153795,0.9615112512613945
7,2016-12-01 07:00:00,inf,0.2,0.0,0.0,0.0489544678664936,0.12126927940142251
8,2016-12-01 08:00:00,inf,0.1,0.0,0.0,0.0805152963048316,0.8307349025535303
9,2016-12-01 09:00:00,inf,0.2,0.0,0.0,0.1476738068996969,0.8705226530183734
10,2016-12-01 10:00:00,inf,0.3,0.0,0.0,0.10000393425033,0.7205337320360969
11,2016-12-01 11:00:00,inf,0.2,0.0,0.0,0.0606749024889816,0.8673955215588265
12,2016-12-01 12:00:00,inf,0.1,0.0,0.0,0.1657944274556722,0.5198528421474858
13,2016-12-01 13:00:00,inf,0.2,0.0,0.0,0.0051819394423698,0.8059210718247927
14,2016-12-01 14:00:00,inf,0.3,0.0,0.0,0.0562198967272888,0.5558634502775388
15,2016-12-01 15:00:00,inf,0.2,0.0,0.0,0.0697793175285664,0.061588224383398615
16,2016-12-01 16:00:00,inf,0.1,0.0,0.0,0.0153861998474278,0.49063125534436536
17,2016-12-01 17:00:00,inf,0.2,0.0,0.0,0.1104058177640403,0.11719849854447428
18,2016-12-01 18:00:00,inf,0.3,0.0,0.0,0.1702783800099489,0.6643439286612087
19,2016-12-01 19:00:00,inf,0.2,0.0,0.0,0.1649268100577029,0.9536606859845574
20,2016-12-01 20:00:00,inf,0.1,0.0,0.0,0.1629040158898823,0.9477095899607507
21,2016-12-01 21:00:00,inf,0.2,0.0,0.0,0.1553006360336836,0.6789204459413458
22,2016-12-01 22:00:00,inf,0.3,0.0,0.0,0.0768935997903158,0.9082676804536598
23,2016-12-01 23:00:00,inf,0.2,0.0,0.0,-0.0065863767686269,0.1312211633662309
24,2016-12-02 00:00:00,inf,0.1,0.0,0.0,0.0890600959806874,0.14080132962483027
25,2016-12-02 01:00:00,inf,0.2,0.0,0.0,0.2006555006768031,0.9000074066736421
26,2016-12-02 02:00:00,inf,0.3,0.0,0.0,0.0524445800578073,0.6746763188854458
27,2016-12-02 03:00:00,inf,0.2,0.0,0.0,0.1173640380541234,0.23659840091261808
28,2016-12-02 04:00:00,inf,0.1,0.0,0.0,0.0463670609080559,0.6865543483539241
29,2016-12-02 05:00:00,inf,0.5,0.0,0.0,0.1341384617147946,0.9037013316727063
30,2016-12-02 06:00:00,inf,20.0,0.0,0.0,0.0874095492575537,0.3755162094462874
31,2016-12-02 07:00:00,inf,0.1,0.0,0.0,0.0318652207281276,0.9555683224627789
32,2016-12-02 08:00:00,inf,0.1,0.0,0.0,0.0461222171477492,0.554244135297739
33,2016-12-02 09:00:00,inf,0.1,0.0,0.0,0.0878266779191143,0.7951315270661646
34,2016-12-02 10:00:00,inf,0.1,0.0,0.0,0.0978776300916295,0.7783654619430521
35,2016-12-02 11:00:00,inf,0.1,0.0,0.0,0.1416658635195236,0.1233606669927324
36,2016-12-02 12:00:00,inf,0.1,0.0,0.0,0.1321090984338462,0.35141454820593065
37,2016-12-02 13:00:00,inf,0.1,0.0,0.0,0.1432876515767652,0.12126324593766413
38,2016-12-02 14:00:00,inf,0.1,0.0,0.0,0.1662420266782373,0.40492014743488713
39,2016-12-02 15:00:00,inf,0.1,0.0,0.0,0.0608100378769042,0.4556913231953613
40,2016-12-02 16:00:00,inf,0.1,0.0,0.0,0.1319819783996985,0.11358785492683743
41,2016-12-02 17:00:00,inf,0.1,0.0,0.0,0.0383484829010556,0.7307484870613444
