Time Step,Time,SWE_mm,sm_profile_0_1m
0,2018-10-01 00:00:00,0.0,0.6739847881405795
1,2018-10-01 01:00:00,0.0,0.38206662731586605
2,2018-10-01 02:00:00,0.0,0.6094647663949374
3,2018-10-01 03:00:00,0.0,0.2811834027248673
4,2018-10-01 04:00:00,0.0,0.9346377880542527
5,2018-10-01 05:00:00,0.0,0.3169576544488987
6,2018-10-01 06:00:00,0.0,0.4149394745246837
7,2018-10-01 07:00:00,0.0,0.5458395450870556
8,2018-10-01 08:00:00,0.0,0.18669365640512248
9,2018-10-01 09:00:00,0.0,0.2827125670659134
10,2018-10-01 10:00:00,0.0,0.20123438794601078
11,2018-10-01 11:00:00,0.0,0.6385121581862779
12,2018-10-01 12:00:00,0.0,0.7473210726048024
13,2018-10-01 13:00:00,0.0,0.40883718155562443
14,2018-10-01 14:00:00,0.0,0.8810559310698098
15,2018-10-01 15:00:00,0.0,0.13143315520864107
16,2018-10-01 16:00:00,0.0,0.9181256295494906
17,2018-10-01 17:00:00,0.0,0.5193673041592831
18,2018-10-01 18:00:00,0.0,0.5673844625193859
19,2018-10-01 19:00:00,0.0,0.48244565939116035
20,2018-10-01 20:00:00,0.0,0.4266097988674482
21,2018-10-01 21:00:00,0.0,0.9054130530711186
22,2018-10-01 22:00:00,0.0,0.3891240034502472
23,2018-10-01 23:00:00,0.0,0.32974764152694436
24,2018-10-02 00:00:00,0.0,0.007202102830969337
25,2018-10-02 01:00:00,0.0,0.8305751732367868
26,2018-10-02 02:00:00,0.0,0.9627431771984207
27,2018-10-02 03:00:00,0.0,0.32209552281869747
28,2018-10-02 04:00:00,0.0,0.5399948930108038
29,2018-10-02 05:00:00,0.0,0.8526363378027796
30,2018-10-02 06:00:00,0.0,0.346286369780467
31,2018-10-02 07:00:00,0.0,5.9027279647794195e-05
32,2018-10-02 08:00:00,0.0,0.7077170803118289
33,2018-10-02 09:00:00,0.0,0.10886067450188763
34,2018-10-02 10:00:00,0.0,0.5430869236421251
35,2018-10-02 11:00:00,0.0,0.8889972198323493
36,2018-10-02 12:00:00,0.0,0.019590599759331306
37,2018-10-02 13:00:00,0.0,0.5678786391149828
38,2018-10-02 14:00:00,0.0,0.2844283849086978
39,2018-10-02 15:00:00,0.0,0.33015287780089486
40,2018-10-02 16:00:00,0.0,0.7363474707172455
41,2018-10-02 17:00:00,0.0,0.25530234807589447
42,2018-10-02 18:00:00,0.0,0.5404318773188276
43,2018-10-02 19:00:00,0.0,0.017392916393391578
44,2018-10-02 20:00:00,0.0,0.8100294419726325
45,2018-10-02 21:00:00,0.0,0.3288564186873868
46,2018-10-02 22:00:00,0.0,0.25250383167454094
47,2018-10-02 23:00:00,0.0,0.31215960149880695
48,2018-10-03 00:00:00,0.0,0.119531404513739
49,2018-10-03 01:00:00,0.0,0.8956366469056368
50,2018-10-03 02:00:00,0.0,0.04230375459730251
51,2018-10-03 03:00:00,0.0,0.4246555949770021
52,2018-10-03 04:00:00,0.0,0.9452839670809337
53,2018-10-03 05:00:00,0.0,0.13415339151882222
54,2018-10-03 06:00:00,0.0,0.2378547173674347
55,2018-10-03 07:00:00,0.0,0.4512698425614766
56,2018-10-03 08:00:00,0.0,0.6242328106443856
57,2018-10-03 09:00:00,0.0,0.3991537705706897
58,2018-10-03 10:00:00,0.0,0.6683436265982738
59,2018-10-03 11:00:00,0.0,0.5042482535910712
60,2018-10-03 12:00:00,0.0,0.1612398462203587
61,2018-10-03 13:00:00,0.0,0.4430358939263569
62,2018-10-03 14:00:00,0.0,0.861008470597664
63,2018-10-03 15:00:00,0.0,0.837086761135054
64,2018-10-03 16:00:00,0.0,0.8722838402499058
65,2018-10-03 17:00:00,0.0,0.41543303873835424
66,2018-10-03 18:00:00,0.0,0.1536529163085587
67,2018-10-03 19:00:00,0.0,0.24290374143173554
68,2018-10-03 20:00:00,0.0,0.8749606886599441
69,2018-10-03 21:00:00,0.0,0.710528521445322
70,2018-10-03 22:00:00,0.0,0.2486424307388434
71,2018-10-03 23:00:00,0.0,0.587340378792673
72,2018-10-04 00:00:00,0.0,0.8655002379847446
73,2018-10-04 01:00:00,0.0,0.49276083948953997
74,2018-10-04 02:00:00,0.0,0.7309886751641087
