Time Step,Time,SWE_mm,sm_profile_0_1m,sm_profile_0_4m,sm_profile_0_3m,sm_profile_0_2m
0,2018-10-01 00:00:00,0.0,0.0693888094143461,0.03469440470717305,0.023129603138115365,0.017347202353586524
1,2018-10-01 01:00:00,0.0,0.6215911442542281,0.31079557212711406,0.2071970480847427,0.15539778606355703
2,2018-10-01 02:00:00,0.0,0.8355805333849967,0.41779026669249836,0.2785268444616656,0.20889513334624918
3,2018-10-01 03:00:00,0.0,0.1960820368587383,0.09804101842936915,0.06536067895291277,0.04902050921468457
4,2018-10-01 04:00:00,0.0,0.4173429041256674,0.2086714520628337,0.13911430137522246,0.10433572603141684
5,2018-10-01 05:00:00,0.0,0.799986979315253,0.3999934896576265,0.26666232643841764,0.19999674482881324
6,2018-10-01 06:00:00,0.0,0.202054259454453,0.1010271297272265,0.067351419818151,0.05051356486361325
7,2018-10-01 07:00:00,0.0,0.9837195257894794,0.4918597628947397,0.3279065085964931,0.24592988144736985
8,2018-10-01 08:00:00,0.0,0.6981899750158644,0.3490949875079322,0.23272999167195482,0.1745474937539661
9,2018-10-01 09:00:00,0.0,0.7117863646768947,0.35589318233844736,0.2372621215589649,0.17794659116922368
10,2018-10-01 10:00:00,0.0,0.8787946093464301,0.43939730467321503,0.29293153644881004,0.21969865233660751
11,2018-10-01 11:00:00,0.0,0.4216112079777888,0.2108056039888944,0.1405370693259296,0.1054028019944472
12,2018-10-01 12:00:00,0.0,0.043765744018029,0.0218828720090145,0.014588581339343,0.01094143600450725
13,2018-10-01 13:00:00,0.0,0.8020653596982078,0.4010326798491039,0.2673551198994026,0.20051633992455195
14,2018-10-01 14:00:00,0.0,0.728787988485935,0.3643939942429675,0.24292932949531165,0.18219699712148374
15,2018-10-01 15:00:00,0.0,0.0439154812356172,0.0219577406178086,0.014638493745205733,0.0109788703089043
16,2018-10-01 16:00:00,0.0,0.2456026276931205,0.12280131384656025,0.0818675425643735,0.061400656923280124
17,2018-10-01 17:00:00,0.0,0.3949473987904133,0.19747369939520665,0.13164913293013777,0.09873684969760332
18,2018-10-01 18:00:00,0.0,0.4588018259835497,0.22940091299177484,0.15293394199451657,0.11470045649588742
19,2018-10-01 19:00:00,0.0,0.1648248862934004,0.0824124431467002,0.054941628764466795,0.0412062215733501
20,2018-10-01 20:00:00,0.0,0.3492482100620885,0.17462410503104425,0.11641607002069616,0.08731205251552213
21,2018-10-01 21:00:00,0.0,0.2051676171535511,0.10258380857677556,0.06838920571785037,0.05129190428838778
22,2018-10-01 22:00:00,0.0,0.6635280743889524,0.3317640371944762,0.22117602479631748,0.1658820185972381
23,2018-10-01 23:00:00,0.0,0.5345368349725458,0.2672684174862729,0.1781789449908486,0.13363420874313645
24,2018-10-02 00:00:00,0.0,0.3349485640999123,0.16747428204995615,0.11164952136663743,0.08373714102497808
25,2018-10-02 01:00:00,0.0,0.600653605738215,0.3003268028691075,0.20021786857940502,0.15016340143455376
26,2018-10-02 02:00:00,0.0,0.4256742174202282,0.2128371087101141,0.14189140580674273,0.10641855435505705
27,2018-10-02 03:00:00,0.0,0.4414922875589467,0.22074614377947335,0.14716409585298224,0.11037307188973668
28,2018-10-02 04:00:00,0.0,0.7708391669076574,0.3854195834538287,0.2569463889692191,0.19270979172691435
29,2018-10-02 05:00:00,0.0,0.6003640232295587,0.30018201161477936,0.20012134107651958,0.15009100580738968
30,2018-10-02 06:00:00,0.0,0.1698386694257401,0.08491933471287005,0.056612889808580036,0.04245966735643503
31,2018-10-02 07:00:00,0.0,0.8403164626239563,0.42015823131197816,0.28010548754131875,0.21007911565598908
32,2018-10-02 08:00:00,0.0,0.0698989215574215,0.03494946077871075,0.0232996405191405,0.017474730389355375
33,2018-10-02 09:00:00,0.0,0.2810978909077251,0.14054894545386254,0.09369929696924169,0.07027447272693127
34,2018-10-02 10:00:00,0.0,0.785357348305826,0.392678674152913,0.2617857827686087,0.1963393370764565
35,2018-10-02 11:00:00,0.0,0.1573536167346833,0.07867680836734164,0.052451205578227765,0.03933840418367082
36,2018-10-02 12:00:00,0.0,0.1413868824226524,0.0706934412113262,0.0471289608075508,0.0353467206056631
37,2018-10-02 13:00:00,0.0,0.0981715572198662,0.0490857786099331,0.03272385240662207,0.02454288930496655
38,2018-10-02 14:00:00,0.0,0.2720434508085591,0.13602172540427954,0.09068115026951969,0.06801086270213977
39,2018-10-02 15:00:00,0.0,0.516864405587749,0.2584322027938745,0.17228813519591635,0.12921610139693726
40,2018-10-02 16:00:00,0.0,0.7971503394005226,0.3985751697002613,0.2657167798001742,0.19928758485013065
41,2018-10-02 17:00:00,0.0,0.0272059750836458,0.0136029875418229,0.009068658361215266,0.00680149377091145
42,2018-10-02 18:00:00,0.0,0.4532633516227686,0.2266316758113843,0.1510877838742562,0.11331583790569215
43,2018-10-02 19:00:00,0.0,0.5319353314963585,0.26596766574817926,0.17731177716545285,0.13298383287408963
44,2018-10-02 20:00:00,0.0,0.2338130601053119,0.11690653005265594,0.07793768670177063,0.05845326502632797
45,2018-10-02 21:00:00,0.0,0.3835658484856238,0.1917829242428119,0.12785528282854128,0.09589146212140595
46,2018-10-02 22:00:00,0.0,0.0042206176599097,0.00211030882995485,0.0014068725533032333,0.001055154414977425
47,2018-10-02 23:00:00,0.0,0.6803998444105304,0.3401999222052652,0.22679994813684345,0.1700999611026326
48,2018-10-03 00:00:00,0.0,0.1810470892952814,0.0905235446476407,0.0603490297650938,0.04526177232382035
49,2018-10-03 01:00:00,0.0,0.9334334758908908,0.4667167379454454,0.31114449196363025,0.2333583689727227
50,2018-10-03 02:00:00,0.0,0.4261057334442366,0.2130528667221183,0.1420352444814122,0.10652643336105914
51,2018-10-03 03:00:00,0.0,0.9585111306431554,0.4792555653215777,0.3195037102143851,0.23962778266078885
52,2018-10-03 04:00:00,0.0,0.3606255097121575,0.18031275485607876,0.12020850323738584,0.09015637742803938
53,2018-10-03 05:00:00,0.0,0.4256197284864049,0.21280986424320245,0.14187324282880162,0.10640493212160122
54,2018-10-03 06:00:00,0.0,0.0470123765508418,0.0235061882754209,0.015670792183613932,0.01175309413771045
55,2018-10-03 07:00:00,0.0,0.6505973044466554,0.3252986522233277,0.21686576814888514,0.16264932611166386
56,2018-10-03 08:00:00,0.0,0.7617487555469286,0.3808743777734643,0.2539162518489762,0.19043718888673214
57,2018-10-03 09:00:00,0.0,0.4617884975999542,0.2308942487999771,0.15392949919998475,0.11544712439998855
